Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17
Half-Truths,3257091166,"""6917529829617663204""",,Legendary,Sword,30th,Power,Arc,1600,,Impact,3,Hunter(1608),FALSE,FALSE,4,15,,0,0,59,0,0,0,0,0,0,0,68,0,0,0,0,20,50,50,50,40,0,0,FALSE,0,0,,,Adaptive Frame*,Enduring Blade*,Jagged Edge,Tempered Edge,Balanced Guard*,Swordmaster's Guard,Tireless Blade*,Eager Edge*,Tier 3 Weapon*,Hot Swap*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
The Hero's Burden,2488587246,"""6917529817589781815""",,Legendary,Submachine Gun,,Energy,Void,1600,,Reload Speed,1,Hunter(1608),FALSE,FALSE,5,17,,93,51,20,54,14,0,0,40,900,34,37,59,0,0,0,0,0,0,0,0,0,32,FALSE,0,0,suros,,Adaptive Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Extended Mag*,Appended Mag,Air Assault*,Eye of the Storm*,Tier 1 Weapon*,Skulking Wolf*,Suros Synergy,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Pardon Our Dust,3849810018,"""6917529834282030938""",,Legendary,Grenade Launcher,30th,KineticSlot,Kinetic,1600,,Handling,3,Hunter(1608),FALSE,TRUE,4,15,,77,75,0,0,13,75,88,18,90,69,1,71,0,0,0,0,0,0,0,0,0,2,FALSE,0,15,,,Lightweight Frame*,Hard Launch*,Linear Compensator,Proximity Grenades*,Spike Grenades,Perpetual Motion*,Pugilist*,Minor Spec*,Tier 3 Weapon*,Hot Swap*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Long Arm,8293111,"""6917529848552936124""",,Legendary,Scout Rifle,,Energy,Arc,1600,,Reload Speed,2,Hunter(1608),FALSE,TRUE,0,,,72,52,100,55,18,0,0,40,120,57,16,53,0,0,0,0,0,0,0,0,0,14,FALSE,0,33,tex-mechanica,,Aggressive Frame*,Full Bore,Polygonal Rifling*,Appended Mag,Tactical Mag*,Compulsive Reloader*,Dragonfly*,Tier 2 Weapon*,Tex Balanced Stock*,Kill Tracker*,Crucible Tracker,,,,,,,
Salvation's Grip,370712896,"""6917529869403740389""",,Exotic,Grenade Launcher,europa,Power,Stasis,1600,,,,Hunter(1608),FALSE,TRUE,4,12,,63,68,0,0,13,55,37,36,120,55,8,57,0,0,0,0,0,0,0,0,0,19,FALSE,0,0,,,Cryocannon*,Linear Compensator*,Alloy Casing*,Flash Freeze*,Polymer Grip*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Ignition Code,304659313,"""6917529443885782003""",,Legendary,Grenade Launcher,servitor,KineticSlot,Kinetic,1600,,Reload Speed,10,Titan(1789),TRUE,FALSE,4,14,,75,71,0,0,13,0,82,28,90,74,1,79,0,0,0,0,0,0,0,0,0,2,FALSE,0,137,,,Lightweight Frame*,Quick Launch*,Smart Drift Control,Disorienting Grenades*,Proximity Grenades,Slideshot*,Vorpal Weapon*,Regal Daring*,Freehand Grip*,Masterwork*,Kill Tracker*,Crucible Tracker,,,,,,
Dire Promise,2742838701,"""6917529475320779365""",,Legendary,Hand Cannon,legendaryengram,KineticSlot,Kinetic,1781,,Stability,1,Titan(1789),FALSE,FALSE,3,10,,84,88,84,47,14,0,0,53,140,49,11,72,0,0,0,0,0,0,0,0,0,10,FALSE,0,0,field-forged,,Adaptive Frame*,Fastdraw HCS*,SteadyHand HCS,Alloy Magazine,High-Caliber Rounds*,Snapshot Sights*,Rangefinder*,Skele-Ghaul*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
Autumn Wind,3110377595,"""6917529881393553827""",,Legendary,Pulse Rifle,crucible,KineticSlot,Kinetic,1786,,Stability,2,Titan(1789),FALSE,FALSE,0,,,73,80,23,32,17,0,0,59,540,34,37,20,0,0,0,0,0,0,0,0,0,15,FALSE,0,0,,,Rapid-Fire Frame*,Chambered Compensator*,Fluted Barrel,Alloy Magazine*,Light Mag,Envious Assassin*,Elemental Capacitor*,Tier 2 Weapon*,One Quiet Moment*,Kill Tracker*,Crucible Tracker,,,,,,,
Witherhoard,2357297366,"""6917529201263672031""",,Exotic,Grenade Launcher,,KineticSlot,Kinetic,1772,,Handling,10,Titan(1789),TRUE,FALSE,3,11,,100,84,0,0,12,5,12,68,90,33,6,100,0,0,0,0,0,0,0,0,0,6,FALSE,0,338,,,Primeval's Torment*,Countermass*,Black Powder*,Break the Bank*,Composite Stock*,Drowned in Strife*,Kill Tracker*,Crucible Tracker,Witherhoard Catalyst*,,,,,,,,,
The Militia's Birthright (Adept),2378101424,"""6917529835755581139""",,Legendary,Grenade Launcher,,KineticSlot,Kinetic,1773,,Blast Radius,1,Titan(1789),TRUE,FALSE,5,18,,62,75,0,0,13,100,82,33,90,63,1,84,0,0,0,0,0,0,0,0,0,4,FALSE,0,47,,,Lightweight Frame*,Linear Compensator,Quick Launch*,Proximity Grenades,Spike Grenades*,Grave Robber*,Lead from Gold,Auto-Loading Holster*,Tidesmoke*,Tier 1 Weapon*,Stunning Recovery*,Vanguard's Vindication,Kill Tracker*,Crucible Tracker,,,,
The Steady Hand,2220884262,"""6917529317549163969""",,Legendary,Hand Cannon,ironbanner,KineticSlot,Kinetic,1786,,Handling,10,Titan(1789),TRUE,FALSE,4,12,,85,75,92,68,14,0,0,48,120,0,8,33,0,0,0,0,0,0,0,0,0,10,FALSE,0,19,,,Aggressive Frame*,TrueSight HCS*,Sureshot HCS,Flared Magwell,Light Mag*,Quickdraw*,Iron Grip*,Gambit Gleam*,Targeting Adjuster*,Masterwork*,Kill Tracker,Crucible Tracker*,,,,,,
Chroma Rush,1119734784,"""6917529440935055827""",,Legendary,Auto Rifle,servitor,KineticSlot,Kinetic,1781,,Range,1,Titan(1789),TRUE,FALSE,4,14,,45,80,18,36,16,0,0,56,720,47,51,35,0,0,0,0,0,0,0,0,0,10,FALSE,0,0,,,Rapid-Fire Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Steady Rounds,Alloy Magazine*,Feeding Frenzy*,Kill Clip*,Thresh,New Monarchy Allegiance*,Minor Spec*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Shepherd's Watch,3743729616,"""6917529500611255079""",,Legendary,Sniper Rifle,legendaryengram,KineticSlot,Kinetic,1783,,Handling,10,Titan(1789),TRUE,FALSE,4,15,,86,60,70,72,50,0,0,32,90,37,4,43,0,0,0,0,0,0,0,0,0,2,FALSE,0,32,,,Adaptive Frame*,Extended Barrel,Full Bore*,Accurized Rounds*,Appended Mag,Under Pressure*,Snapshot Sights*,Erebos Glance*,Counterbalance Stock*,Masterwork*,Kill Tracker,Crucible Tracker*,,,,,,
Acasia's Dejection,1471212226,"""6917529880545441374""",,Legendary,Trace Rifle,,Energy,Solar,1777,,Range,4,Titan(1789),FALSE,FALSE,0,,,96,100,6,78,16,0,0,95,1000,53,98,64,0,0,0,0,0,0,0,0,0,13,FALSE,0,0,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Particle Repeater*,Light Battery,Hip-Fire Grip*,Frenzy*,Tier 4 Weapon*,Harmonic Resonance*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Extract Pattern*,Empty Weapon Level Boost Socket*,,,,
Divinity,4103414242,"""6917529234154577642""",,Exotic,Trace Rifle,garden,Energy,Arc,1789,,,,Titan(1789),TRUE,FALSE,3,8,,100,100,6,67,16,0,0,100,1000,45,94,56,0,0,0,0,0,0,0,0,0,17,FALSE,0,59,,,Judgment*,Polygonal Rifling*,Particle Repeater*,Penance*,Composite Stock*,Sky/Perdition*,Kill Tracker,Crucible Tracker*,Empty Catalyst Socket*,,,,,,,,,
Path of Least Resistance,2827764482,"""6917529860034589708""",,Legendary,Trace Rifle,,Energy,Arc,1774,,,,Titan(1789),TRUE,FALSE,0,,,95,100,6,69,16,0,0,83,1000,40,102,52,0,0,0,0,0,0,0,0,0,12,TRUE,9,471,omolon,,Adaptive Frame*,Polygonal Rifling*,Enhanced Battery*,Hip-Fire Grip*,Tap the Trigger*,Sinking Feeling*,Targeting Adjuster*,*,Ambush*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
Shayura's Wrath,3682803680,"""6917529528394925557""",,Legendary,Submachine Gun,trials,Energy,Void,1777,,Handling,10,Titan(1789),TRUE,FALSE,4,14,,100,60,25,69,15,0,0,44,600,24,29,27,0,0,0,0,0,0,0,0,0,25,FALSE,0,49,,,Precision Frame*,Extended Barrel*,Polygonal Rifling,Appended Mag*,Alloy Magazine,Dynamic Sway Reduction*,Elemental Capacitor*,Amrita's Dream*,Counterbalance Stock*,Masterwork*,Kill Tracker,Crucible Tracker*,,,,,,
Royal Executioner,1720503118,"""6917529880096874176""",,Legendary,Fusion Rifle,,Energy,Solar,1781,,Reload Speed,1,Titan(1789),FALSE,FALSE,0,,,58,43,65,36,15,0,0,40,0,33,7,35,660,0,0,0,0,0,0,0,0,6,FALSE,0,4,,,Adaptive Frame*,Corkscrew Rifling*,Polygonal Rifling,Accelerated Coils*,Particle Repeater,Firmly Planted*,Reservoir Burst*,Tier 1 Weapon*,Noble Deeds*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,*,,,
Vexcalibur,3118061005,"""6917529872886341195""",,Exotic,Glaive,,Energy,Void,1756,,,10,Titan(1789),FALSE,FALSE,0,,,0,74,80,95,0,0,0,0,80,62,5,82,0,0,0,0,0,0,0,0,0,10,TRUE,1,17,,,M1R Distribution Matrix*,Ballistic Tuning*,Extended Mag*,Perpetual Loophole*,Hand-Laid Stock*,Protocol Socket*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Extract Pattern*,,,,,,,,
Father's Sins,3865728990,"""6917529766384708017""",,Legendary,Sniper Rifle,wellspring,Energy,Void,1771,,,,Titan(1789),TRUE,FALSE,5,16,,63,73,55,36,35,0,0,46,140,55,5,56,0,0,0,0,0,0,0,0,0,8,TRUE,21,51,,,Rapid-Fire Frame*,Extended Barrel*,Steady Rounds*,Lead from Gold*,Opening Shot*,Flower Child*,Sweaty Confetti*,*,Psychohack*,Nightfall Memento Tracker,Kill Tracker,Crucible Tracker*,Shaped Weapon*,Nightfall Memento*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
Bump in the Night,1959650777,"""6917529865889483069""",,Legendary,Rocket Launcher,haunted,Power,Stasis,1777,,,,Titan(1789),FALSE,FALSE,5,17,,74,33,0,0,20,15,84,23,25,58,1,19,0,0,0,0,0,0,0,0,0,7,TRUE,22,0,,,Aggressive Frame*,Hard Launch*,Impact Casing*,Demolitionist*,Chill Clip*,Midnight Smith*,*,Extrovert*,Nightfall Memento Tracker*,Kill Tracker,Crucible Tracker,Shaped Weapon*,Nightfall Memento*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
The Hothead (Adept),1866778462,"""6917529517436711044""",,Legendary,Rocket Launcher,nightfall,Power,Arc,1774,,"Blast Radius, Stability, Range, Handling, Reload Speed, Velocity, Accuracy",10,Titan(1789),TRUE,FALSE,4,15,,75,67,0,0,20,90,55,33,20,48,1,45,0,0,0,0,0,0,0,0,0,8,FALSE,0,707,,,Adaptive Frame*,Volatile Launch*,Hard Launch,Black Powder*,Implosion Rounds,Quickdraw,Tracking Module*,Vorpal Weapon*,Crucible Alizarin*,Adept Blast Radius*,Masterwork*,Kill Tracker*,Crucible Tracker,,,,,
Salvation's Grip,370712896,"""6917529208450336130""",,Exotic,Grenade Launcher,europa,Power,Stasis,1600,,,,Titan(1789),FALSE,FALSE,4,12,,63,68,0,0,13,55,37,36,120,55,8,57,0,0,0,0,0,0,0,0,0,19,FALSE,0,0,,,Cryocannon*,Linear Compensator*,Alloy Casing*,Flash Freeze*,Polymer Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,
Caretaker,2508948099,"""6917529869355302132""",,Legendary,Sword,,Power,Solar,1644,,Impact,1,Titan(1789),FALSE,FALSE,0,,,0,0,60,0,0,0,0,0,0,0,67,0,0,0,0,50,80,50,70,40,0,0,FALSE,0,16,,,Adaptive Frame*,Enduring Blade*,Honed Edge,Tempered Edge,Heavy Guard*,Swordmaster's Guard,Tireless Blade*,Valiant Charge*,Rivalry Stoic*,Tier 1 Weapon*,Noble Deeds*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
Gjallarhorn,1363886209,"""6917529875005577529""",,Exotic,Rocket Launcher,30th,Power,Solar,1779,,,,Titan(1789),FALSE,FALSE,4,15,,49,76,0,0,20,100,40,54,15,67,1,76,0,0,0,0,0,0,0,0,0,6,FALSE,0,8,,,Wolfpack Rounds*,Volatile Launch*,Alloy Casing*,Pack Hunter*,Short-Action Stock*,Gjallarfoam*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,
Regnant,268260372,"""6917529880125153547""",,Legendary,Grenade Launcher,,Power,Void,1782,,Handling,1,Titan(1789),FALSE,FALSE,0,,,74,61,0,0,13,65,23,47,120,39,6,36,0,0,0,0,0,0,0,0,0,14,FALSE,0,10,,,Adaptive Frame*,Volatile Launch*,Smart Drift Control,Spike Grenades*,Augmented Drum,Rangefinder*,Pugilist*,Tier 1 Weapon*,Noble Deeds*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Autumn Wind,3110377595,"""6917529881393556956""",,Legendary,Pulse Rifle,crucible,KineticSlot,Kinetic,1785,,Reload Speed,3,Titan(1789),FALSE,FALSE,0,,,93,80,23,32,17,0,0,47,540,17,46,35,0,0,0,0,0,0,0,0,0,25,FALSE,0,0,,,Rapid-Fire Frame*,Arrowhead Brake*,Smallbore,Extended Mag*,Flared Magwell,Tunnel Vision*,Swashbuckler*,Tier 3 Weapon*,One Quiet Moment*,Kill Tracker*,Crucible Tracker,,,,,,,
Quicksilver Storm,4293613902,"""6917529867620543507""",,Exotic,Auto Rifle,deluxe,KineticSlot,Kinetic,1770,,,,Titan(1789),TRUE,TRUE,5,18,,88,83,18,50,16,0,0,100,720,54,51,53,0,0,0,0,0,0,0,0,0,26,FALSE,0,1570,,,Rocket Tracers*,Corkscrew Rifling*,High-Caliber Rounds*,Grenade Chaser*,Hand-Laid Stock*,Neomuna Nights*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,
Brigand's Law,1298815317,"""6917529867227067594""",,Legendary,Sidearm,plunder,Energy,Arc,1780,,"Stability, Range, Handling, Reload Speed, Blast Radius, Velocity, Accuracy",10,Titan(1789),TRUE,TRUE,5,18,,95,59,35,39,12,0,0,80,450,43,15,53,0,0,0,0,0,0,0,0,0,14,TRUE,22,1916,,,Rapid-Fire Frame*,Smallbore*,Accurized Rounds*,Feeding Frenzy*,Voltshot*,Transcendental Ambition*,Minor Spec*,*,Right Hook*,Nightfall Memento Tracker,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Nightfall Memento*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
Cry Mutiny,616582330,"""6917529829798326793""",,Legendary,Grenade Launcher,crucible,Power,Solar,1783,,Blast Radius,10,Titan(1789),TRUE,TRUE,5,18,,58,62,0,0,13,65,23,42,120,55,6,37,0,0,0,0,0,0,0,0,0,27,FALSE,0,25,,,Adaptive Frame*,Volatile Launch*,Mini Frags*,Incandescent,Demolitionist*,Swashbuckler,Vorpal Weapon*,Regal Daring*,Icarus Grip*,Masterwork*,Intended Overthrow*,Kill Tracker,Crucible Tracker*,Vanguard's Vindication*,One Quiet Moment,Gun and Run,,
Cold Denial,1216130969,"""6917529364685237240""",,Legendary,Pulse Rifle,seasonpass,KineticSlot,Kinetic,1600,,Handling,1,Warlock(1608),TRUE,FALSE,3,11,,83,32,33,67,14,0,0,44,340,34,34,15,0,0,0,0,0,0,0,0,0,10,FALSE,0,0,,,High-Impact Frame*,Extended Barrel*,Polygonal Rifling,Appended Mag*,Light Mag,Killing Wind*,Multikill Clip*,Technofusion*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
Witherhoard,2357297366,"""6917529203192619680""",,Exotic,Grenade Launcher,,KineticSlot,Kinetic,1600,,Handling,10,Warlock(1608),FALSE,FALSE,3,11,,100,84,0,0,12,5,12,68,90,33,6,100,0,0,0,0,0,0,0,0,0,6,FALSE,0,0,,,Primeval's Torment*,Countermass*,Black Powder*,Break the Bank*,Composite Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Witherhoard Catalyst*,,,,,,,,,
Syncopation-53,2856514843,"""6917529815186795209""",,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Stasis,1600,,Stability,1,Warlock(1608),FALSE,FALSE,5,16,,89,66,29,51,19,0,0,80,390,42,36,41,0,0,0,0,0,0,0,0,0,14,FALSE,0,0,suros,,Adaptive Frame*,Chambered Compensator*,Ricochet Rounds*,Zen Moment*,Frenzy*,Tier 1 Weapon*,Suros Synergy*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,,
Lonesome,2199171672,"""6917529427744241775""",,Legendary,Sidearm,gambitprime,KineticSlot,Kinetic,1600,,Range,1,Warlock(1608),FALSE,FALSE,3,11,,100,86,51,64,12,0,0,52,260,21,12,43,0,0,0,0,0,0,0,0,0,12,FALSE,0,0,,,Precision Frame*,Arrowhead Brake*,Chambered Compensator,Ricochet Rounds*,Light Mag,Grave Robber*,Opening Shot*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Heritage,4248569242,"""6917529238079286918""",,Legendary,Shotgun,deepstonecrypt,KineticSlot,Kinetic,1600,,Handling,1,Warlock(1608),TRUE,FALSE,4,12,,60,68,70,78,12,0,0,43,65,10,7,71,0,0,0,0,0,0,0,0,0,5,FALSE,0,0,,,Pinpoint Slug Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Appended Mag*,Tactical Mag,Dual Loader*,Recombination*,Tier 1 Weapon*,Tracker Disabled*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,*,
Praedyth's Revenge,3653573172,"""6917529497713442746""",,Legendary,Sniper Rifle,vaultofglass,KineticSlot,Kinetic,1600,,Stability,2,Warlock(1608),FALSE,FALSE,4,14,,65,78,55,44,49,0,0,52,140,63,5,65,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,,,Rapid-Fire Frame*,Chambered Compensator*,Fluted Barrel,Accurized Rounds*,Tactical Mag,Rewind Rounds*,Adrenaline Junkie*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Nation of Beasts,654370424,"""6917529587383408629""",,Legendary,Hand Cannon,lastwish,Energy,Arc,1600,,Range,2,Warlock(1608),FALSE,FALSE,2,4,,100,71,84,52,14,0,0,62,140,55,12,32,0,0,0,0,0,0,0,0,0,10,FALSE,0,0,,,Adaptive Frame*,Extended Barrel*,Full Bore,Smallbore,Tactical Mag*,Alloy Magazine,Outlaw*,Kill Clip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
